time(s),emg01,emg02,emg03,emg04,emg05,emg06,emg07,emg08
10.640092849731445,31,33,251,62,46,29,24,28
10.655369997024536,32,34,252,56,48,30,24,27
10.671990871429443,30,36,217,56,48,29,24,26
10.691043376922607,28,37,211,53,48,29,23,25
10.713696718215942,27,38,181,64,54,32,22,25
10.735924243927002,28,40,224,63,54,32,23,25
10.752103567123413,27,39,286,64,54,32,22,27
10.773436546325684,28,38,270,70,55,32,23,27
10.796387195587158,29,47,281,71,59,33,25,29
10.811027526855469,31,49,333,66,58,34,25,29
10.833511114120483,30,49,317,72,60,36,24,28
10.85603642463684,30,49,269,68,57,36,24,26
10.871020793914795,30,52,261,60,59,38,23,27
10.893463850021362,30,45,309,66,58,38,22,28
10.916588068008423,26,42,247,65,53,34,22,29
10.931102275848389,27,45,237,65,53,33,27,31
10.955154180526733,26,44,234,67,59,35,26,34
10.976349592208862,24,42,277,64,56,34,27,34
10.99276089668274,25,41,236,77,56,32,25,32
11.013680458068848,25,39,250,73,54,32,24,31
11.036125183105469,25,33,249,71,51,31,22,29
11.051154136657715,24,42,243,75,49,31,24,26
11.073561429977417,26,45,236,81,59,30,22,28
11.096941471099854,24,44,254,67,59,32,23,27
11.113357067108154,24,46,251,71,62,30,23,27
11.133748769760132,26,47,262,73,68,30,24,30
11.156526565551758,27,39,262,67,71,31,24,31
11.172708749771118,28,33,246,65,69,34,26,30
11.19485330581665,29,40,277,62,70,35,28,29
11.216667890548706,31,38,276,66,74,37,30,28
11.240218162536621,30,38,270,63,72,39,27,26
11.259616136550903,29,37,277,63,69,37,29,26
11.275926351547241,29,40,259,64,67,36,28,26
11.29218053817749,27,43,230,62,63,32,28,28
11.314144849777222,25,42,233,62,58,33,25,28
11.33608102798462,24,43,242,67,60,32,27,29
11.354849100112915,30,46,239,67,55,31,25,29
11.37358283996582,30,46,238,65,52,30,23,28
11.396130084991455,32,35,173,65,50,33,20,25
11.412540912628174,34,39,255,60,49,37,24,26
11.433490753173828,38,45,264,60,48,38,26,24
11.45601487159729,35,41,279,61,50,38,25,24
11.474565982818604,35,41,289,54,45,38,26,25
11.493489742279053,35,42,292,68,51,37,26,24
11.515898942947388,34,39,203,69,55,30,26,27
11.534993886947632,36,35,232,62,54,32,23,28
11.553504705429077,35,35,221,71,59,34,25,27
11.58532428741455,37,36,218,74,61,35,25,28
11.601630687713623,37,36,215,64,58,34,25,28
11.616698265075684,37,35,240,59,56,35,23,25
11.636328935623169,32,30,249,70,57,35,21,25
11.651004791259766,31,36,251,68,59,37,21,25
11.673393964767456,29,35,250,79,63,35,21,23
11.696413278579712,30,40,254,80,61,35,23,26
11.718799114227295,32,41,232,84,63,36,24,26
11.73352599143982,32,42,151,80,57,32,27,28
11.756020307540894,31,37,128,75,53,27,26,28
11.779056787490845,30,37,106,67,56,26,24,32
11.793506860733032,28,34,130,66,58,27,24,30
11.816460609436035,28,46,153,62,54,28,23,30
11.838845491409302,27,45,157,55,54,29,22,29
11.866099119186401,29,45,159,62,55,28,24,31
11.882091760635376,28,46,160,60,49,29,24,28
11.898641347885132,30,45,132,63,48,30,25,31
11.915577411651611,29,33,92,63,45,32,25,32
11.936384439468384,29,36,87,65,45,33,24,29
11.958355188369751,29,35,82,54,39,34,23,27
11.976198434829712,30,33,79,54,39,35,24,28
11.996334552764893,28,38,294,48,44,36,24,27
